"","workerid","condition","likelihood.cautious","likelihood.confident","most_likely_model","likelihood_ratio","test_order","noticed_manipulation","first_speaker_type","prior_likelihood_ratio"
"76",1401,"confident",-427.598783774794,-657.72264217958,"cautious",-230.123858404785,"reverse",0,"confident",-478.070099728599
"77",1403,"cautious",-920.180309389795,-728.561671211244,"confident",191.618638178552,"reverse",0,"cautious",-30.5220388100172
"78",1403,"confident",-887.685016646398,-748.084781997103,"confident",139.600234649294,"reverse",0,"cautious",-30.5220388100172
"79",1404,"cautious",-711.880193729029,-494.526539743132,"confident",217.353653985897,"parallel",1,"confident",-180.385514999305
"80",1404,"confident",-454.234142882252,-491.428595910856,"cautious",-37.1944530286045,"parallel",1,"confident",-180.385514999305
"81",1405,"cautious",-970.936961623455,-1259.40393065358,"cautious",-288.466969030122,"parallel",0,"confident",-176.061724224186
"82",1405,"confident",-996.35673133491,-1221.09225488322,"cautious",-224.73552354831,"parallel",0,"confident",-176.061724224186
"83",1406,"cautious",-820.008344893529,-741.881712793977,"confident",78.1266320995517,"parallel",0,"cautious",-113.286261855406
"84",1406,"confident",-850.058692199541,-892.831366074812,"cautious",-42.77267387527,"parallel",0,"cautious",-113.286261855406
"85",1407,"cautious",-786.98658450958,-919.224340650172,"cautious",-132.237756140592,"reverse",0,"confident",102.077476358004
"86",1407,"confident",-854.987547558464,-808.74816923061,"confident",46.2393783278538,"reverse",0,"confident",102.077476358004
"87",1408,"cautious",-1028.66261939054,-1211.90703762127,"cautious",-183.24441823073,"reverse",0,"cautious",-333.958555286991
"88",1408,"confident",-1021.69392163024,-1171.29202326278,"cautious",-149.598101632535,"reverse",0,"cautious",-333.958555286991
"89",1409,"cautious",-986.318711720697,-807.681412388068,"confident",178.637299332629,"reverse",0,"confident",-31.9221959629583
"90",1409,"confident",-711.598038659876,-604.288753769787,"confident",107.30928489009,"reverse",0,"confident",-31.9221959629583
"91",1411,"cautious",-317.610388402112,-645.447368036102,"cautious",-327.83697963399,"parallel",0,"confident",21.3741229223183
"92",1411,"confident",-324.875038605388,-500.006069013914,"cautious",-175.131030408526,"parallel",0,"confident",21.3741229223183
"93",1412,"cautious",-351.894997784143,-568.882889912869,"cautious",-216.987892128725,"parallel",0,"confident",39.692959845603
"94",1412,"confident",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",39.692959845603
"95",1413,"cautious",-432.430342039748,-469.85157419437,"cautious",-37.4212321546221,"parallel",0,"cautious",-460.612237226795
"96",1413,"confident",-427.598783774794,-657.72264217958,"cautious",-230.123858404785,"parallel",0,"cautious",-460.612237226795
"97",1414,"cautious",-1086.26653608576,-1105.57887525159,"cautious",-19.3123391658246,"reverse",0,"confident",-33.9687218928941
"98",1414,"confident",-1172.19985606227,-1178.7279544423,"cautious",-6.52809838002236,"reverse",0,"confident",-33.9687218928941
"99",1415,"cautious",-995.185992196874,-943.447891976846,"confident",51.7381002200279,"reverse",0,"cautious",4.1874642677617
"100",1415,"confident",-1029.69411009176,-982.273640046474,"confident",47.420470045284,"reverse",0,"cautious",4.1874642677617
"101",1417,"cautious",-666.969098086154,-764.083278955784,"cautious",-97.1141808696295,"reverse",1,"cautious",52.8716181356721
"102",1417,"confident",-601.698246410637,-600.57089088924,"confident",1.12735552139736,"reverse",1,"cautious",52.8716181356721
"103",1418,"cautious",-468.641960982249,-666.231379529488,"cautious",-197.589418547239,"parallel",0,"cautious",-100.456340246725
"104",1418,"confident",-452.027062989813,-619.504105454543,"cautious",-167.47704246473,"parallel",0,"cautious",-100.456340246725
"105",1419,"cautious",-1452.3742947519,-1402.92548217376,"confident",49.4488125781374,"reverse",0,"confident",-2.36783792716619
"106",1419,"confident",-1422.06776102047,-1802.54683903188,"cautious",-380.479078011411,"reverse",0,"confident",-2.36783792716619
"107",1423,"cautious",-461.406800206454,-615.038293070688,"cautious",-153.631492864234,"parallel",1,"cautious",-196.091470799228
"108",1423,"confident",-618.546114266056,-580.893614266845,"confident",37.6524999992107,"parallel",1,"cautious",-196.091470799228
"109",1426,"cautious",-1352.25806214197,-1479.65081163177,"cautious",-127.392749489796,"parallel",0,"cautious",27.3291648967786
"110",1426,"confident",-1549.25364321024,-1767.8026088281,"cautious",-218.548965617857,"parallel",0,"cautious",27.3291648967786
"111",1427,"cautious",-1698.2328052035,-1555.33976867793,"confident",142.893036525572,"parallel",0,"cautious",-21.2556058459845
"112",1427,"confident",-1347.8382318719,-1230.62715664391,"confident",117.211075227989,"parallel",0,"cautious",-21.2556058459845
"113",1428,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",1,"cautious",56.5382175145712
"114",1428,"confident",-959.852544222586,-391.580273898974,"confident",568.272270323613,"parallel",1,"cautious",56.5382175145712
"115",1429,"cautious",-958.732266402301,-832.146749707137,"confident",126.585516695164,"parallel",0,"cautious",-68.2305725789313
"116",1429,"confident",-975.169915304075,-763.112409060004,"confident",212.057506244071,"parallel",0,"cautious",-68.2305725789313
"117",1430,"cautious",-505.531130923955,-390.320862443659,"confident",115.210268480296,"parallel",0,"cautious",126.00429609609
"118",1430,"confident",-638.082599038751,-457.933721922874,"confident",180.148877115877,"parallel",0,"cautious",126.00429609609
"119",1431,"cautious",-614.269119112799,-485.601708534095,"confident",128.667410578705,"reverse",0,"cautious",-6.52008966250014
"120",1431,"confident",-697.31858346393,-617.370422863232,"confident",79.9481606006987,"reverse",0,"cautious",-6.52008966250014
"121",1432,"cautious",-464.088505131989,-668.609016078296,"cautious",-204.520510946306,"reverse",0,"confident",-20.9772358106909
"122",1432,"confident",-638.082599038751,-457.933721922874,"confident",180.148877115877,"reverse",0,"confident",-20.9772358106909
"123",1506,"cautious",-359.620206699173,-524.913324538769,"cautious",-165.293117839596,"reverse",1,"cautious",13.4490482284607
"124",1506,"confident",-439.847144032453,-543.322107875054,"cautious",-103.474963842601,"reverse",1,"cautious",13.4490482284607
"125",1507,"cautious",-1599.57774587743,-1693.65530606675,"cautious",-94.0775601893204,"reverse",0,"cautious",71.398796747203
"126",1507,"confident",-2151.90270597234,-2096.42765295006,"confident",55.4750530222773,"reverse",0,"cautious",71.398796747203
"127",1508,"cautious",-905.284516070784,-1011.15144924405,"cautious",-105.866933173265,"parallel",0,"cautious",-64.2601546400913
"128",1508,"confident",-507.349003058068,-615.90873914402,"cautious",-108.559736085952,"parallel",0,"cautious",-64.2601546400913
"129",1509,"cautious",-1837.98190913851,-1254.42503477551,"confident",583.556874363002,"parallel",0,"cautious",-14.8655897584076
"130",1509,"confident",-1837.07005367344,-1245.05988008436,"confident",592.010173589082,"parallel",0,"cautious",-14.8655897584076
"131",1510,"cautious",-1767.24067368998,-1787.21297483911,"cautious",-19.9723011491271,"reverse",0,"confident",-94.3481582460904
"132",1510,"confident",-1697.64026495102,-1750.44569064548,"cautious",-52.8054256944565,"reverse",0,"confident",-94.3481582460904
"133",1511,"cautious",-263.445400331088,-639.185978986769,"cautious",-375.740578655681,"reverse",1,"confident",-4.85656629031769
"134",1511,"confident",-562.673436138969,-593.423133850725,"cautious",-30.7496977117563,"reverse",1,"confident",-4.85656629031769
"135",1512,"cautious",-299.260756083358,-482.505174314088,"cautious",-183.24441823073,"parallel",0,"confident",-263.24695111812
"136",1512,"confident",-351.894997784143,-568.882889912869,"cautious",-216.987892128725,"parallel",0,"confident",-263.24695111812
"137",1513,"cautious",-1174.28505119523,-1191.03321664568,"cautious",-16.7481654504502,"parallel",1,"confident",-238.776361050004
"138",1513,"confident",-1132.08201073429,-925.459173943963,"confident",206.622836790328,"parallel",1,"confident",-238.776361050004
"139",1514,"cautious",-1663.23291865641,-1600.44684706269,"confident",62.7860715937215,"reverse",0,"confident",52.3324088265651
"140",1514,"confident",-1482.80036184557,-1447.17761422674,"confident",35.6227476188262,"reverse",0,"confident",52.3324088265651
"141",1515,"cautious",-1287.10226046228,-525.691442824467,"confident",761.410817637814,"reverse",0,"cautious",-350.420566627672
"142",1515,"confident",-1325.48676486617,-719.197264778846,"confident",606.289500087325,"reverse",0,"cautious",-350.420566627672
"143",1516,"cautious",-630.439600274725,-486.427231196333,"confident",144.012369078392,"reverse",1,"cautious",49.8670348860869
"144",1516,"confident",-773.804761758778,-705.69494574679,"confident",68.1098160119882,"reverse",1,"cautious",49.8670348860869
"145",1517,"cautious",-468.641960982249,-666.231379529488,"cautious",-197.589418547239,"parallel",1,"cautious",-243.035439626885
"146",1517,"confident",-556.090127230986,-588.592897627786,"cautious",-32.5027703967994,"parallel",1,"cautious",-243.035439626885
