workerid,proliferate.condition,color,modal1,modal2,pair,percentage_blue,post_exposure,rating1,rating2,rating_other,reverse_sent_order,sentence1,sentence2,speaker,speaker_type,error
1454,cond2,orange,might,probably,might-probably,25,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1479,cond2,blue,might,probably,might-probably,100,1,1.1102230246251563e-16,0.93,0.06999999999999995,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,blue,might,probably,might-probably,25,1,0.06,0.07,0.8700000000000001,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,blue,might,probably,might-probably,75,1,0.1,0.9,0,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,blue,might,probably,might-probably,50,1,0.51,0.49,0,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,blue,might,probably,might-probably,10,1,0,0,1,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,orange,might,probably,might-probably,25,1,0.52,0.48,0,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,orange,might,probably,might-probably,60,1,0.04,0.02,0.94,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,blue,might,probably,might-probably,40,1,0.25,0.2,0.55,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,orange,might,probably,might-probably,100,1,0,0,1,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,orange,might,probably,might-probably,0,1,0.49,0.51,0,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,blue,might,probably,might-probably,0,1,0,0,1,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,orange,might,probably,might-probably,50,1,0.5,0.5,0,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,orange,might,probably,might-probably,40,1,0.51,0.49,0,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,orange,might,probably,might-probably,10,1,0.46999999999999986,0.53,0,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,blue,might,probably,might-probably,60,1,0.49,0.51,0,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,orange,might,probably,might-probably,90,1,0,0,1,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,blue,might,probably,might-probably,90,1,0.5200000000000001,0.48,0,1,You might get a blue one,You'll probably get a blue one,m,confident,
1479,cond2,orange,might,probably,might-probably,75,1,0,0,1,1,You might get an orange one,You'll probably get an orange one,m,confident,
1479,cond2,blue,might,probably,might-probably,0,1,0,0,1,1,You might get a blue one,You'll probably get a blue one,f,cautious,
